Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS01,"Subject , object pronouns and Possessive adjectives",Link,Link,1,Grammar,1
LS02,Possessive adjectives,Link,Link,1,Grammar,1.01
LS03,Demonstrative pronouns – this / that / these / those,Link,Link,1,Grammar,1.02
LS04,Present simple (I do),Link,Link,1,Grammar,1.03
LS05,Present continuous (I am doing),Link,Link,1,Grammar,1.04
LS06,Present continuous and present simple,Link,Link,1,Grammar,1.05
LS07,Present tenses (I am doing /I do) for the future,Link,Link,1,Grammar,1.06
LS08,Future simple tense with be going to,Link,Link,1,Grammar,1.07
LS09,Near future tense with will/shall,Link,Link,1,Grammar,1.08
LS10,Past simple tense,Link,Link,1,Grammar,1.09
LS11,Past continuous tense,Link,Link,1,Grammar,1.1
LS12,Present perfect temse,Link,Link,1,Grammar,1.11
LS13,Present perfect continuous,Link,Link,1,Grammar,1.12
LS14,Present perfect continuous and simple,Link,Link,1,Grammar,1.13
LS15,Structure with How Long have you (been) ... ?,Link,Link,1,Grammar,1.14
LS16,Structure with For and since When ... ? and How Long ... ?,Link,Link,1,Grammar,1.15
LS17,Present perfect and past,Link,Link,1,Grammar,1.16
LS18,Past perfect,Link,Link,1,Grammar,1.17
LS19,Past perfect continuous,Link,Link,1,Grammar,1.18
LS20,Usage of Still/ yet and already Any more I any Longer I no Longer ,Link,Link,1,Grammar,1.19
LS21,Usage of Even,Link,Link,1,Grammar,1.2
LS22,Structure with Used to (do) ,Link,Link,1,Grammar,1.21
LS23,Modal verbs,Link,Link,1,Grammar,1.22
LS24,The articles : a /an and the,Link,Link,1,Grammar,1.23
LS25,Parts of speech : Nouns,Link,Link,1,Grammar,1.24
LS26,reflexive pronouns,Link,Link,1,Grammar,1.25
LS27,possessive pronoun,Link,Link,1,Grammar,1.26
LS28,Usage of Some and any,Link,Link,1,Grammar,1.27
LS29,Usage of No/none/any Nothing/ nobody etc.,Link,Link,1,Grammar,1.28
