Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS227,Overview about Part 1 Listening test,Link,Link,1,Listening,1
LS228,Method to resolve Photo of person questions in Listening Part 1,Link,Link,1,Listening,1.001
LS229,Method to resolve Photo of object questions in Listening Part 1,Link,Link,1,Listening,1.002
LS230,Method to resolve Photo of scenery questions in Listening Part 1,Link,Link,1,Listening,1.003
LS231,Tips and Experiences to do Listening Test Part 1,Link,Link,1,Listening,1.004
LS232,Review Listening Part 1 exercises,Link,Link,6,Listening,1.005
LS233, Overview about Part 2 Listening test,Link,Link,1,Listening,1.006
LS234,Method to resolve -WH questions in Listening Part 2,Link,Link,1,Listening,1.007
LS235,Method to resolve Yes/Noquestions in Listening Part 2,Link,Link,1,Listening,1.008
LS236,Method to resolve Preference questions in Listening Part 3,Link,Link,1,Listening,1.009
LS237,Method to resolve Tag questions in Listening Part 2,Link,Link,1,Listening,1.01
LS238, Method to resolve Suggestion questions in Listening Part 2,Link,Link,1,Listening,1.011
LS239,Method to resolve Statement questions in Listening Part 2,Link,Link,1,Listening,1.012
LS240,Tips and Experiences to do Listening Test Part 2,Link,Link,1,Listening,1.013
LS242,Review Listening Part 2 exercises,Link,Link,6,Listening,1.014
LS243,Overview about Part 3 Listening test,Link,Link,1,Listening,2
LS244,Method to Main idea questions in Listening Part 3,Link,Link,1,Listening,2.001
LS245,Method to resolve Detailed Information questions in Listening Part 3,Link,Link,1,Listening,2.002
LS246,Method to resolve Inferring questions in Listening Part 3,Link,Link,1,Listening,2.003
LS247,Tips and Experiences to do Listening Test Part 3,Link,Link,1,Listening,2.004
LS250,Review Listening Part 3 exercises,Link,Link,6,Listening,2.005
LS251, Overview about Part 4 Listening test,Link,Link,1,Listening,2.006
LS252,Method to Main idea questions in Listening Part 4,Link,Link,1,Listening,2.007
LS253,Method to resolve Detailed Information questions in Listening Part 4,Link,Link,1,Listening,2.008
LS254,Method to resolve Inferring questions in Listening Part 4,Link,Link,1,Listening,2.009
LS255,Tips and Experiences to do Listening Test Part 4,Link,Link,1,Listening,2.01
LS259,Review Listening Part 4 exercises,Link,Link,6,Listening,2.011
LS339, Listen to Identifying letters of the alphabet ,Link,Link,1,Listening,1
LS340,Listen to Common abbreviations,Link,Link,1,Listening,1.001
LS341,Listen to Common places in IELTS,Link,Link,1,Listening,1.002
LS342,"Introduction (Name, Nationality)",Link,Link,1,Listening,1.003
LS343,"Listen to Cardinal numbers , Ordinal number",Link,Link,1,Listening,1.004
LS344,Listen to Decimal numbers,Link,Link,1,Listening,1.005
LS345,Listen to Money,Link,Link,1,Listening,1.006
LS346,Listen to reading the Telephone number,Link,Link,1,Listening,1.007
LS347,Overview about Part 1 Listening test,Link,Link,1,Listening,1.008
LS348,Introduction to Multiple Choice question Listening Part 1,Link,Link,1,Listening,1.009
LS349,"Introduction to Matching,
Plan/Map/Diagram Labelling question Listening Part 1",Link,Link,1,Listening,1.01
LS350,Introduction to Form/Note/Table/Flow Chart/Summary Completion question Listening Part 1,Link,Link,1,Listening,1.011
LS351,Introduction to Sentence Completion question Listening Part 1,Link,Link,1,Listening,1.012
LS352,Introduction to Short Answer questions Listening Part 1,Link,Link,1,Listening,1.013
LS353,Tips and Experiences to do Listening Test Part 1,Link,Link,1,Listening,1.014
LS354,Review Listening Part 1 exercises,Link,Link,6,Listening,1.015
LS355,Overview about Part 2 Listening test,Link,Link,1,Listening,1.016
LS356,Introduction to Multiple Choice question Listening Part 2,Link,Link,1,Listening,1.017
LS357,"Introduction to Matching,
Plan/Map/Diagram Labelling question Listening Part 2",Link,Link,1,Listening,1.018
LS358,Introduction to Form/Note/Table/Flow Chart/Summary Completion question Listening Part 2,Link,Link,1,Listening,1.019
LS359,Introduction to Sentence Completion question Listening Part 2,Link,Link,1,Listening,1.02
LS360,Introduction to Short Answer questions Listening Part 2,Link,Link,1,Listening,1.021
LS361,Tips and Experiences to do Listening Test Part 2,Link,Link,1,Listening,1.022
LS362,Review Listening Part 2 exercises,Link,Link,6,Listening,1.023
LS365,Overview about Part 3 Listening test,Link,Link,1,Listening,2
LS366,Introduction to Form/Note/Table/Flow Chart/Summary Completion question Listening Part 3,Link,Link,1,Listening,2.001
