Competency_ID,Lesson_ID
CPT_1,LS01
CPT_1,LS02
CPT_1,LS03
CPT_1,LS04
CPT_1,LS05
CPT_1,LS06
CPT_1,LS07
CPT_1,LS08
CPT_1,LS09
CPT_1,LS10
CPT_1,LS11
CPT_1,LS12
CPT_1,LS13
CPT_1,LS14
CPT_1,LS15
CPT_1,LS16
CPT_1,LS17
CPT_1,LS18
CPT_1,LS19
CPT_1,LS20
CPT_1,LS21
CPT_1,LS22
CPT_1,LS23
CPT_1,LS24
CPT_1,LS25
CPT_1,LS26
CPT_1,LS27
CPT_1,LS28
CPT_1,LS29
CPT_1,LS30
CPT_1,LS31
CPT_1,LS32
CPT_1,LS33
CPT_1,LS34
CPT_1,LS35
CPT_1,LS36
CPT_1,LS37
CPT_2,LS38
CPT_2,LS39
CPT_2,LS40
CPT_2,LS41
CPT_2,LS42
CPT_2,LS43
CPT_2,LS44
CPT_2,LS45
CPT_2,LS46
CPT_2,LS47
CPT_2,LS48
CPT_2,LS49
CPT_2,LS50
CPT_2,LS51
CPT_2,LS52
CPT_2,LS53
CPT_2,LS54
CPT_2,LS55
CPT_2,LS56
CPT_2,LS57
CPT_2,LS58
CPT_2,LS59
CPT_2,LS60
CPT_2,LS61
CPT_2,LS62
CPT_2,LS63
CPT_2,LS64
CPT_2,LS65
CPT_2,LS66
CPT_2,LS67
CPT_2,LS68
CPT_3,LS69
CPT_3,LS70
CPT_3,LS71
CPT_3,LS72
CPT_3,LS73
CPT_3,LS74
CPT_3,LS75
CPT_3,LS76
CPT_3,LS77
CPT_3,LS78
CPT_3,LS79
CPT_3,LS80
CPT_3,LS81
CPT_3,LS82
CPT_3,LS83
CPT_3,LS84
CPT_3,LS85
CPT_3,LS86
CPT_4,LS87
CPT_4,LS88
CPT_4,LS89
CPT_4,LS90
CPT_4,LS91
CPT_4,LS92
CPT_4,LS93
CPT_4,LS94
CPT_4,LS95
CPT_4,LS96
CPT_4,LS97
CPT_4,LS98
