Competency_ID,Lesson_ID
CPT_5,LS227
CPT_5,LS228
CPT_5,LS229
CPT_5,LS230
CPT_5,LS231
CPT_5,LS232
CPT_5,LS233
CPT_5,LS234
CPT_5,LS235
CPT_5,LS236
CPT_5,LS237
CPT_5,LS238
CPT_5,LS239
CPT_5,LS240
CPT_5,LS242
CPT_6,LS232
CPT_6,LS242
CPT_6,LS243
CPT_6,LS244
CPT_6,LS245
CPT_6,LS246
CPT_6,LS247
CPT_6,LS250
CPT_6,LS251
CPT_6,LS252
CPT_6,LS253
CPT_6,LS254
CPT_6,LS255
CPT_6,LS259
CPT_7,LS232
CPT_7,LS242
CPT_7,LS250
CPT_7,LS259
CPT_8,LS232
CPT_8,LS242
CPT_8,LS250
CPT_8,LS259
CPT_21,LS339
CPT_21,LS340
CPT_21,LS341
CPT_21,LS342
CPT_21,LS343
CPT_21,LS344
CPT_21,LS345
CPT_21,LS346
CPT_21,LS347
CPT_21,LS348
CPT_21,LS349
CPT_21,LS350
CPT_21,LS351
CPT_21,LS352
CPT_21,LS353
CPT_21,LS354
CPT_21,LS355
CPT_21,LS356
CPT_21,LS357
CPT_21,LS358
CPT_21,LS359
CPT_21,LS360
CPT_21,LS361
CPT_21,LS362
CPT_22,LS354
CPT_22,LS362
CPT_22,LS365
CPT_22,LS366
CPT_22,LS367
CPT_22,LS368
CPT_22,LS369
CPT_22,LS370
CPT_22,LS371
CPT_22,LS372
CPT_22,LS373
CPT_22,LS374
CPT_22,LS375
CPT_22,LS378
CPT_23,LS354
CPT_23,LS362
CPT_23,LS371
CPT_23,LS378
CPT_23,LS383
CPT_23,LS384
CPT_23,LS376
CPT_23,LS385
CPT_24,LS354
CPT_24,LS362
CPT_24,LS371
CPT_24,LS385
CPT_37,LS503
CPT_37,LS504
CPT_37,LS505
CPT_37,LS506
CPT_37,LS507
CPT_37,LS508
CPT_37,LS509
CPT_38,LS509
CPT_38,LS511
CPT_38,LS512
CPT_38,LS513
CPT_38,LS514
CPT_38,LS515
CPT_39,LS515
CPT_40,LS515
