Lesson_ID,Pre_Lesson_ID
LS228,LS100
LS228,LS105
LS228,LS106
LS228,LS107
LS228,LS108
LS228,LS109
LS228,LS110
LS229,LS99
LS229,LS101
LS229,LS102
LS229,LS103
LS229,LS110
LS229,LS111
LS231,LS100
LS231,LS104
LS231,LS111
LS233,LS112
LS233,LS113
LS233,LS114
LS233,LS115
LS233,LS116
LS233,LS117
LS233,LS118
LS233,LS119
LS233,LS120
LS233,LS121
LS233,LS122
LS243,LS123
LS243,LS124
LS243,LS125
LS243,LS126
LS243,LS127
LS243,LS114
LS243,LS128
LS243,LS129
LS243,LS122
LS243,LS130
LS251,LS131
LS251,LS132
LS251,LS123
LS251,LS113
LS251,LS133
LS251,LS116
LS251,LS134
LS347,LS144
LS347,LS145
LS347,LS137
LS347,LS114
LS347,LS146
LS347,LS147
LS347,LS148
LS347,LS138
LS347,LS115
LS347,LS149
LS347,LS150
LS347,LS124
LS347,LS151
LS355,LS152
LS355,LS111
LS355,LS153
LS355,LS154
LS355,LS155
LS355,LS156
LS355,LS157
LS355,LS158
LS355,LS159
LS355,LS160
LS355,LS161
LS355,LS120
LS365,LS162
LS365,LS164
LS365,LS165
LS372,LS166
LS372,LS167
LS372,LS168
LS372,LS169
LS372,LS119
LS372,LS115
LS372,LS170
LS372,LS137
LS372,LS171
LS372,LS118
LS372,LS133
LS372,LS172
LS372,LS173
LS372,LS174
LS372,LS113
LS503,LS222
LS503,LS176
LS503,LS117
LS503,LS223
LS503,LS224
LS503,LS195
LS503,LS225
LS503,LS188
