Competency_ID,Lesson_ID
CPT_9,LS264
CPT_9,LS265
CPT_9,LS266
CPT_9,LS267
CPT_9,LS268
CPT_9,LS269
CPT_9,LS270
CPT_9,LS271
CPT_9,LS272
CPT_9,LS273
CPT_9,LS274
CPT_9,LS275
CPT_9,LS276
CPT_9,LS277
CPT_9,LS278
CPT_10,LS273
CPT_10,LS278
CPT_10,LS279
CPT_10,LS280
CPT_10,LS281
CPT_10,LS282
CPT_10,LS283
CPT_10,LS284
CPT_10,LS285
CPT_10,LS286
CPT_10,LS287
CPT_10,LS288
CPT_11,LS273
CPT_11,LS282
CPT_11,LS288
CPT_12,LS273
CPT_12,LS282
CPT_12,LS288
CPT_25,LS390
CPT_25,LS391
CPT_25,LS392
CPT_25,LS393
CPT_25,LS394
CPT_25,LS395
CPT_26,LS395
CPT_26,LS397
CPT_26,LS398
CPT_26,LS399
CPT_26,LS400
CPT_26,LS401
CPT_27,LS395
CPT_27,LS401
CPT_27,LS404
CPT_27,LS405
CPT_27,LS406
CPT_27,LS407
CPT_27,LS408
CPT_28,LS408
CPT_41,LS518
CPT_41,LS519
CPT_41,LS520
CPT_41,LS521
CPT_41,LS522
CPT_41,LS523
CPT_41,LS524
CPT_42,LS524
CPT_42,LS526
CPT_42,LS527
CPT_42,LS528
CPT_42,LS529
CPT_42,LS530
CPT_42,LS531
CPT_43,LS531
