Competency_ID,Lesson_ID
CPT_13,LS295
CPT_13,LS296
CPT_13,LS297
CPT_13,LS298
CPT_13,LS299
CPT_13,LS300
CPT_13,LS301
CPT_13,LS302
CPT_13,LS303
CPT_14,LS297
CPT_14,LS300
CPT_14,LS303
CPT_14,LS307
CPT_14,LS308
CPT_14,LS309
CPT_15,LS297
CPT_15,LS300
CPT_15,LS303
CPT_15,LS309
CPT_15,LS314
CPT_15,LS315
CPT_15,LS316
CPT_15,LS317
CPT_15,LS318
CPT_15,LS319
CPT_16,LS297
CPT_16,LS300
CPT_16,LS303
CPT_16,LS309
CPT_16,LS316
CPT_16,LS319
CPT_29,LS409
CPT_29,LS410
CPT_29,LS411
CPT_29,LS412
CPT_29,LS413
CPT_29,LS414
CPT_29,LS415
CPT_29,LS416
CPT_29,LS417
CPT_29,LS418
CPT_29,LS419
CPT_29,LS420
CPT_29,LS421
CPT_29,LS422
CPT_29,LS423
CPT_29,LS424
CPT_29,LS425
CPT_29,LS426
CPT_29,LS427
CPT_29,LS428
CPT_29,LS429
CPT_29,LS430
CPT_29,LS431
CPT_29,LS432
CPT_29,LS433
CPT_29,LS434
CPT_29,LS435
CPT_29,LS436
CPT_29,LS437
CPT_29,LS438
CPT_29,LS439
CPT_29,LS440
CPT_29,LS441
CPT_29,LS442
CPT_29,LS443
CPT_29,LS444
CPT_29,LS445
CPT_29,LS446
CPT_29,LS447
CPT_29,LS448
CPT_29,LS449
CPT_29,LS450
CPT_29,LS451
CPT_29,LS452
CPT_30,LS429
CPT_30,LS432
CPT_30,LS453
CPT_30,LS454
CPT_30,LS455
CPT_30,LS456
CPT_30,LS457
CPT_30,LS458
CPT_30,LS459
CPT_30,LS460
CPT_30,LS461
CPT_30,LS462
CPT_30,LS463
CPT_30,LS464
CPT_30,LS465
CPT_30,LS466
CPT_30,LS467
CPT_30,LS468
CPT_30,LS469
CPT_30,LS470
CPT_31,LS459
CPT_31,LS463
CPT_31,LS470
CPT_32,LS459
CPT_32,LS463
CPT_32,LS470
CPT_44,LS533
CPT_44,LS534
CPT_44,LS535
CPT_44,LS536
CPT_44,LS537
CPT_44,LS538
CPT_44,LS539
CPT_45,LS539
CPT_45,LS540
CPT_45,LS541
CPT_45,LS542
CPT_45,LS543
CPT_46,LS543
CPT_47,LS543
