Competency_ID,Lesson_ID
CPT_17,LS320
CPT_17,LS321
CPT_17,LS322
CPT_17,LS323
CPT_17,LS324
CPT_17,LS325
CPT_18,LS322
CPT_18,LS325
CPT_18,LS328
CPT_18,LS329
CPT_18,LS330
CPT_18,LS331
CPT_18,LS332
CPT_18,LS333
CPT_18,LS334
CPT_18,LS335
CPT_19,LS322
CPT_19,LS325
CPT_19,LS335
CPT_20,LS322
CPT_20,LS325
CPT_20,LS335
CPT_33,LS477
CPT_33,LS478
CPT_33,LS479
CPT_33,LS480
CPT_33,LS481
CPT_33,LS482
CPT_33,LS483
CPT_33,LS484
CPT_33,LS485
CPT_33,LS486
CPT_33,LS487
CPT_34,LS482
CPT_34,LS489
CPT_34,LS490
CPT_34,LS491
CPT_34,LS492
CPT_34,LS493
CPT_34,LS487
CPT_34,LS495
CPT_34,LS496
CPT_34,LS497
CPT_34,LS498
CPT_35,LS493
CPT_35,LS498
CPT_36,LS493
CPT_36,LS498
CPT_48,LS546
CPT_48,LS547
CPT_48,LS548
CPT_48,LS549
CPT_48,LS550
CPT_49,LS550
