Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS264,Overview about Part 5 Reading test,Link,Link,1,Reading,1
LS265,Method to resolve Meaning questions in Reading Part 5,Link,Link,1,Reading,1.0001
LS266,Method to resolve Preposition questions in Reading Part 5,Link,Link,1,Reading,1.0002
LS267,Method to resolve Word form questions in Reading Part 5,Link,Link,1,Reading,1.0003
LS268,Method to resolve Connecting word and Adverb-clause questions in Reading Part 5,Link,Link,1,Reading,1.0004
LS269, Method to resolve Relative Pronoun questions in Reading Part 5,Link,Link,1,Reading,1.0005
LS270, Method to resolve Relative Pronoun questions in Reading Part 5,Link,Link,1,Reading,1.0006
LS271,Method to resolve Pronoun /  Reflexive / Possessive adjectives questions in Reading Part 5,Link,Link,1,Reading,1.0007
LS272,Tips and Experiences to do Reading Test Part 5,Link,Link,1,Reading,1.0008
LS273,Review Full Reading Test Part 5,Link,Link,6,Reading,1.0009
LS274,Overview about Part 6 Reading test,Link,Link,1,Reading,1.001
LS275,Method to Notices Format questions  in Reading Part 6,Link,Link,1,Reading,1.0011
LS276,Method to resolve Letters or E-mail Format questios  in Reading Part 6,Link,Link,1,Reading,1.0012
LS277,Method to resolve Instruction Format questions  in Reading Part 6,Link,Link,1,Reading,1.0013
LS278,"Review Reading Part 6 exercises(with types of question : Notices Format,Letters or E-mail Format ,  Instruction Format )",Link,Link,1,Reading,1.0014
LS279,Method to resolve Articles Format questions  in Reading Part 6,Link,Link,1,Reading,2
LS280, Method to resolve Memorandum Format questions  in Reading Part 6,Link,Link,1,Reading,2.0001
LS281,Tips and Experiences to do Reading Test Part 6,Link,Link,1,Reading,2.0002
LS282,Review Reading Part 6 exercises,Link,Link,6,Reading,2.0003
LS283, Overview about Part 7 Reading test,Link,Link,1,Reading,2.0004
LS284,Method to Main Idea of Text (main topic/main ideas/ the purpose/mainly about/ who should read this articles)  questions in Reading Part 7,Link,Link,1,Reading,2.0005
LS285, Method to resolve Detailed Information in Text  questions in Reading Part 7,Link,Link,1,Reading,2.0006
LS286,Method to resolve Inferring Vocabulary Meaning  questions  in Reading Part 7,Link,Link,1,Reading,2.0007
LS287,Tips and Experiences to do Reading Test Part 7,Link,Link,1,Reading,2.0008
LS288,Review Reading Part 7 exercises,Link,Link,6,Reading,2.0009
LS390,Overview about Reading test,Link,Link,1,Reading,1
LS391,Introduction to Multiple Choice questions ,Link,Link,1,Reading,1.0001
LS392,Introduction to Identifying information  questions ,Link,Link,1,Reading,1.0002
LS393,Introduction to Identifying writer’s views / claims questions,Link,Link,1,Reading,1.0003
LS394,Introduction to Matching information questions ,Link,Link,1,Reading,1.0004
LS395,"Review Reading Skill Exercises (For questions with format :Multiple Choice ,  Identifying information, Identifying writer’s views / claims,Matching information )",Link,Link,6,Reading,1.0005
LS397,Introduction to Matching headings questions ,Link,Link,1,Reading,2
LS398,Introduction to Matching features questions ,Link,Link,1,Reading,2.0001
LS399,Introduction to Matching sentence endings questions ,Link,Link,1,Reading,2.0002
LS400,Introduction to Sentence completion questions,Link,Link,1,Reading,2.0003
LS401,"Review Reading Skill Exercises (For questions with format :Matching headings,   Matching features, Matching sentence,Sentence completion )",Link,Link,6,Reading,2.0004
LS404,"Introduction to Summary, note, table, flow-chart completion questions ",Link,Link,1,Reading,3
LS405,Introduction to Diagram label completion questions ,Link,Link,1,Reading,3.0001
LS406,Introduction to Short-answer questions questions ,Link,Link,1,Reading,3.0002
LS407,Tips and Experiences to do Reading Skill Test ,Link,Link,1,Reading,3.0003
LS408,Review exercise for Full Reading Test ,Link,Link,6,Reading,3.0004
LS518,Introduction to TOEFL Reading Test,Link,Link,1,Reading,1
LS519,Method to resolve Inference Questions Type in Reading Test,Link,Link,1,Reading,1.0001
LS520,Method to resolve Vocabulary Question Type in Reading Test,Link,Link,1,Reading,1.0002
LS521,Method to resolve Rhetorical Purpose Question Type in Reading Test,Link,Link,1,Reading,1.0003
LS522,Method to resolve Rhetorical Detail (Factual Information) Question Type in Reading Test,Link,Link,1,Reading,1.0004
LS523,Method to resolve Negative Factual Information Question Type in Reading Test,Link,Link,1,Reading,1.0005
LS524,"Review Reading Skill exercises (with formats : Inference Questions , Vocabulary Question, Rhetorical Purpose Questions,Rhetorical Detail (Factual Information,Negative Factual Information Questions)",Link,Link,6,Reading,1.0006
LS526,Method to resolve Essential Information (Sentence Simplification) Question Type in Reading Test,Link,Link,1,Reading,2
LS527,Method to resolve Sentence Insertion Question Type in Reading Test,Link,Link,1,Reading,2.0001
LS528,Method to resolve Complete the Summary (Prose Summary) Question Type in Reading Test,Link,Link,1,Reading,2.0002
LS529,Method to resolve Complete the Table (Fill in a Table) Question Type in Reading Test,Link,Link,1,Reading,2.0003
LS530,Tips and Experiences to do Reading Test,Link,Link,1,Reading,2.0004
LS531,Review Reading Skill exercises,Link,Link,6,Reading,2.0005
