Lesson_ID,Lesson,Theory_References,Exercise,Time_to_learn,Category,Difficulty
LS320, Overview of Writing Test Part 1,Link,Link,1,Writing,1
LS321,Tips and Experiences to do Writing Test Part 1,Link,Link,1,Writing,1.000001
LS322,Review Writing Part 1 exercises,Link,Link,6,Writing,1.000002
LS323, Overview of Writing Test Part 2,Link,Link,1,Writing,1.000003
LS324,Tips and Experiences to do Writing Test Part 2,Link,Link,1,Writing,1.000004
LS325,Review Writing Part 2 exercises,Link,Link,6,Writing,1.000005
LS328,Overview of Writing Test Part 3,Link,Link,1,Writing,2
LS329,Express a general opinion,Link,Link,1,Writing,2.000001
LS330,Agree or Disagree with a statement,Link,Link,1,Writing,2.000002
LS331,Discuss the advantages and disadvantages of a situation,Link,Link,1,Writing,2.000003
LS332,Explain your preference to something,Link,Link,1,Writing,2.000004
LS333,Explain the importance of something,Link,Link,1,Writing,2.000005
LS334,Tips and Experiences to do Writing Test Part 3,Link,Link,1,Writing,2.000006
LS335,Review Writing Part 3 exercises,Link,Link,6,Writing,2.000007
LS477,Introduction to IELTS Writing Test Part 1,Link,Link,1,Writing,1
LS478,Introduction to Pie Charts questions Writing Part 1,Link,Link,1,Writing,1.000001
LS479,Introduction to Multiple Graphs/ Charts questions Writing Part 1,Link,Link,1,Writing,1.000002
LS480,Introduction to Line Graph questions Writing Part 1,Link,Link,1,Writing,1.000003
LS481,Introduction to Map Graph questions Writing Part 1,Link,Link,1,Writing,1.000004
LS482,"Review Writinging Part 1 Exercises (with format :Pie Charts question , Multiple Graphs/ Charts question,Line Graph questions,Map Graph questions )",Link,Link,6,Writing,1.000005
LS483,Introduction to IELTS Writing Test Part 1,Link,Link,1,Writing,1.000006
LS484,Introduction to Opinion Essay questions Writing Part 2,Link,Link,1,Writing,1.000007
LS485,Introduction to Advantages and Disadvantages questions Writing Part 2,Link,Link,1,Writing,1.000008
LS486,Introduction to Problem and Solution  questions Writing Part 2,Link,Link,1,Writing,1.000009
LS487,"Review Writinging Part 2 Exercises (with formats :Opinion Essay questions ,Advantages and Disadvantages questions,Problem and Solution  questions  )",Link,Link,6,Writing,1.00001
LS489,Introduction to Process questions Writing Part 1,Link,Link,1,Writing,2
LS490,Introduction to Table questions Writing Part 1,Link,Link,1,Writing,2.000001
LS491,Introduction to Bar chart questions Writing Part 1,Link,Link,1,Writing,2.000002
LS492,Tips and Experiences to do Speaking Test Part 1,Link,Link,1,Writing,2.000003
LS493,Review Writinging Part 1 Exercises,Link,Link,6,Writing,2.000004
LS495,Introduction to Discussion Essay questions Writing Part 2,Link,Link,1,Writing,2.000005
LS496,Introduction to Two-part questions Writing Part 2,Link,Link,1,Writing,2.000006
LS497,Tips and Experiences to do Speaking Test Part 2,Link,Link,1,Writing,2.000007
LS498,Review Writinging Part 2 Exercises,Link,Link,6,Writing,2.000008
LS546,Introduction to TOEFL Writing Test,Link,Link,1,Writing,1
LS547,Study template for TOEFL Writing Section Task #1: Integrated Essay,Link,Link,1,Writing,1.000001
LS548,Study template for TOEFL Writing Section Task #2: “Independent Essay”,Link,Link,1,Writing,1.000002
LS549,Tips and Experiences to do Writing Test,Link,Link,1,Writing,1.000003
LS550,Review Writing exercises,Link,Link,6,Writing,1.000004
